   ;Name;Mode;Reserved;Bytes;Cycles;ExtraCycles;Jump;MXE
$CE;DEC;ABS;;3;6;;;
$DE;DEC;ABS,X;;3;7;1;;
$EE;INC;ABS;;3;6;;;
$FE;INC;ABS,X;;3;7;1;;
$0F;ORA;ABSL;;4;5;;;1
$1F;ORA;ABSL,X;;4;5;;;1
$2F;AND;ABSL;;4;5;;;1
$3F;AND;ABSL,X;;4;5;;;1
$4F;EOR;ABSL;;4;5;;;1
$5F;EOR;ABSL,X;;4;5;;;1
$6F;ADC;ABSL;;4;5;;;1
$7F;ADC;ABSL,X;;4;5;;;1
$8F;STA;ABSL;;4;5;;;1
$9F;STA;ABSL,X;;4;5;;;1
$AF;LDA;ABSL;;4;5;;;1
$BF;LDA;ABSL,X;;4;5;;;1
$CF;CMP;ABSL;;4;5;;;1
$DF;CMP;ABSL,X;;4;5;;;1
$EF;SBC;ABSL;;4;5;;;1
$FF;SBC;ABSL,X;;4;5;;;1
