   ;Name;Mode;Reserved;Bytes;Cycles;ExtraCycles;MX
$BB;LAS;ABS,Y;1;3;4;1;
$CB;AXS;#IM;1;2;2;;
$DB;NOP;ABS,Y;1;3;7;1;
$EB;SBC;#IM;1;2;2;;
$FB;NOP;ABS,Y;1;3;7;1;
$0C;NOP;ABS;1;3;4;;
$1C;NOP;ABS,X;1;3;4;1;
$2C;BIT;ABS;;3;4;;
$3C;NOP;ABS,X;1;3;4;1;
$4C;JMP;ABS;;3;3;;
$5C;NOP;ABS,X;1;3;4;1;
$6C;JMP;(ABS);;3;5;;
$7C;NOP;ABS,X;1;3;4;1;
$8C;STY;ABS;;3;4;;
$9C;SHY;ABS,X;1;3;5;1;
$AC;LDY;ABS;;3;4;;
$BC;LDY;ABS,X;;3;4;1;
$CC;CPY;ABS;;3;4;;
$DC;NOP;ABS,X;1;3;4;1;
$EC;CPX;ABS;;3;4;;
$FC;NOP;ABS,X;1;3;4;1;
$0D;ORA;ABS;;3;4;;
$1D;ORA;ABS,X;;3;4;1;
$2D;AND;ABS;;3;4;;
$3D;AND;ABS,X;;3;4;1;
$4D;EOR;ABS;;3;4;;
$5D;EOR;ABS,X;;3;4;1;
$6D;ADC;ABS;;3;4;;
$7D;ADC;ABS,X;;3;4;1;
$8D;STA;ABS;;3;4;;
$9D;STA;ABS,X;;3;5;1;
$AD;LDA;ABS;;3;4;;
$BD;LDA;ABS,X;;3;4;1;
$CD;CMP;ABS;;3;4;;
$DD;CMP;ABS,X;;3;4;1;
$ED;SBC;ABS;;3;4;;
$FD;SBC;ABS,X;;3;4;1;
$0E;ASL;ABS;;3;6;;
$1E;ASL;ABS,X;;3;7;1;
$2E;ROL;ABS;;3;6;;
$3E;ROL;ABS,X;;3;7;1;
$4E;LSR;ABS;;3;6;;
$5E;LSR;ABS,X;;3;7;1;
$6E;ROR;ABS;;3;6;;
$7E;ROR;ABS,X;;3;7;1;
$8E;STX;ABS;;3;6;;
$9E;SHX;ABS,Y;1;3;5;;
$AE;LDX;ABS;;3;4;;
$BE;LDX;ABS,Y;;3;4;1;
$CE;DEC;ABS;;3;6;;
$DE;DEC;ABS,X;;3;7;1;
$EE;INC;ABS;;3;6;;
$FE;INC;ABS,X;;3;7;1;
$0F;SLO;ABS;1;3;6;;
$1F;SLO;ABS,X;1;3;7;;
$2F;RLA;ABS;1;3;6;;
$3F;RLA;ABS,X;1;3;7;;
$4F;SRE;ABS;1;3;6;;
$5F;SRE;ABS,X;1;3;7;;
$6F;RAA;ABS;1;3;6;;
$7F;RAA;ABS,X;1;3;7;;
$8F;SAX;ABS;1;3;4;;
$9F;AHX;ABS,Y;1;3;5;;
$AF;LAX;ABS;1;3;4;;
$BF;LAX;ABS,Y;1;3;4;;
$CF;DCP;ABS;1;3;6;;
$DF;DCP;ABS,X;1;3;7;;
$EF;ISC;ABS;1;3;6;;
$FF;ISC;ABS,X;1;3;7;;
