   ;Name;Mode;Reserved;Bytes;Cycles;ExtraCycles;MX;Jump
$08;PHP;;;1;3;;;
$18;CLC;;;1;1;;;
$28;PLP;;;1;3;;;
$38;SEC;;;1;1;;;
$48;PHA;;;1;3;;;
$58;CLI;;;1;2;;;
$68;PLA;;;1;3;;;
$78;SEI;;;1;2;;;
$88;DEY;;;1;1;;;
$98;TYA;;;1;1;;;
$A8;TAY;;;1;1;;;
$B8;CLV;;;1;1;;;
$C8;INY;;;1;1;;;
$D8;CLD;;;1;1;;;
$E8;INX;;;1;1;;;
$F8;SED;;;1;1;;;
$09;ORA;#IM;;2;2;;;
$19;ORA;ABS,Y;;3;4;;;
$29;AND;#IM;;2;2;;;
$39;AND;ABS,Y;;3;4;;;
$49;EOR;#IM;;2;2;;;
$59;EOR;ABS,Y;;3;4;;;
$69;ADC;#IM;;2;2;;;
$79;ADC;ABS,Y;;3;4;;;
$89;BIT;#IM;;2;2;;;
$99;STA;ABS,Y;;3;4;;;
$A9;LDA;#IM;;2;2;;;
$B9;LDA;ABS,Y;;3;4;;;
$C9;CMP;#IM;;2;2;;;
$D9;CMP;ABS,Y;;3;4;;;
$E9;SBC;#IM;;2;2;;;
$F9;SBC;ABS,Y;;3;4;;;
$0A;ASL;;;1;1;;;
$1A;INC;;;1;1;;;
$2A;ROL;;;1;1;;;
$3A;DEC;;;1;1;;;
$4A;LSR;;;1;1;;;
$5A;PHY;;;1;3;;;
$6A;ROR;;;1;1;;;
$7A;PLY;;;1;3;;;
$8A;TXA;;;1;1;;;
$9A;TXS;;;1;1;;;
$AA;TAX;;;1;1;;;
$BA;TSX;;;1;1;;;
$CA;DEX;;;1;1;;;
$DA;PHX;;;1;3;;;
$EA;NOP;;;1;1;;;
$FA;PLX;;;1;3;;;
$0B;TSY;;;1;1;;;
$1B;INZ;;;1;1;;;
$2B;TYS;;;1;1;;;
$3B;DEZ;;;1;1;;;
$4B;TAZ;;;1;1;;;
$5B;TAB;;;1;1;;;
$6B;TZA;;;1;1;;;
$7B;TBA;;;1;1;;;
$8B;STY;ABS,X;;3;4;;;
$9B;STX;ABS,Y;;3;4;;;
$AB;LDZ;ABS;;3;4;;;
$BB;LDZ;ABS,X;;3;4;;;
$CB;ASW;;;1;7;;;
$DB;PHZ;;;1;3;;;
$EB;ROW;;;1;7;;;
$FB;PLZ;;;1;3;;;
$0C;TSB;ABS;;3;5;;;
$1C;TRB;ABS;;3;4;;;
$2C;BIT;ABS;;3;5;;;
$3C;BIT;ABS,X;;3;4;;;
$4C;JMP;ABS;;3;3;;;1
$5C;AUG;ABSL;;4;4;;;
$6C;JMP;(ABS);;3;5;;;1
$7C;JMP;(ABS,X);;3;5;;;1
$8C;STY;ABS;;3;4;;;
$9C;STZ;ABS;;3;4;;;
$AC;LDY;ABS;;3;4;;;
$BC;LDY;ABS,X;;3;4;;;
$CC;CPY;ABS;;3;4;;;
$DC;CPZ;ABS;;3;4;;;
$EC;CPX;ABS;;3;4;;;
$FC;PHW;ABS;;3;7;;;
$0D;ORA;ABS;;3;4;;;
$1D;ORA;ABS,X;;3;4;;;
$2D;AND;ABS;;3;4;;;
$3D;AND;ABS,X;;3;4;;;
$4D;EOR;ABS;;3;4;;;
$5D;EOR;ABS,X;;3;4;;;
$6D;ADC;ABS;;3;4;;;
$7D;ADC;ABS,X;;3;4;;;
$8D;STA;ABS;;3;4;;;
$9D;STA;ABS,X;;3;4;;;
$AD;LDA;ABS;;3;4;;;
$BD;LDA;ABS,X;;3;4;;;
$CD;CMP;ABS;;3;4;;;
$DD;CMP;ABS,X;;3;4;;;
$ED;SBC;ABS;;3;4;;;
$FD;SBC;ABS,X;;3;4;;;
$0E;ASL;ABS;;3;5;;;
$1E;ASL;ABS,X;;3;5;;;
$2E;ROL;ABS;;3;5;;;
$3E;ROL;ABS,X;;3;5;;;
$4E;LSR;ABS;;3;5;;;
$5E;LSR;ABS,X;;3;5;;;
$6E;ROR;ABS;;3;5;;;
$7E;ROR;ABS,X;;3;5;;;
$8E;STX;ABS;;3;4;;;
$9E;STZ;ABS,X;;3;4;;;
$AE;LDX;ABS;;3;4;;;
$BE;LDX;ABS,Y;;3;4;;;
$CE;DEC;ABS;;3;5;;;
$DE;DEC;ABS,X;;3;5;;;
$EE;INC;ABS;;3;5;;;
$FE;INC;ABS,X;;3;5;;;
$0F;BBR0;ZP,REL;;3;4;;;
$1F;BBR1;ZP,REL;;3;4;;;
$2F;BBR2;ZP,REL;;3;4;;;
$3F;BBR3;ZP,REL;;3;4;;;
$4F;BBR4;ZP,REL;;3;4;;;
$5F;BBR5;ZP,REL;;3;4;;;
$6F;BBR6;ZP,REL;;3;4;;;
$7F;BBR7;ZP,REL;;3;4;;;
$8F;BBS0;ZP,REL;;3;4;;;
$9F;BBS1;ZP,REL;;3;4;;;
$AF;BBS2;ZP,REL;;3;4;;;
$BF;BBS3;ZP,REL;;3;4;;;
$CF;BBS4;ZP,REL;;3;4;;;
$DF;BBS5;ZP,REL;;3;4;;;
$EF;BBS6;ZP,REL;;3;4;;;
$FF;BBS7;ZP,REL;;3;4;;;
